log_forks,log_open_issues,repo_age_days,repo_age_years,days_since_last_push,topic_count,has_topics,has_description,description_length,has_license,language,forks_per_year,issues_per_year,popularity_class
3.2188758248682006,2.772588722239781,143.20181712962963,0.39206520774710374,11.85244212962963,0,0,1,136,1,Python,61.21430702282787,38.25894188926742,0
2.70805020110221,0.6931471805599453,1167.9062037037038,3.19755291910665,1027.1401157407408,0,0,1,96,1,Python,4.3783481788039955,0.31273915562885685,0
3.5553480614894135,0.0,749.9673263888889,2.053298634877177,719.9902430555555,0,0,1,99,1,Python,16.558721377630388,0.0,0
3.367295829986474,1.9459101490553132,2123.0095254629628,5.812483300377721,1158.9947685185184,5,1,1,76,1,Python,4.8172181411997235,1.0322610302570836,0
3.044522437723423,2.6390573296152584,702.0140856481481,1.9220098169696047,603.2598842592593,0,0,1,99,0,Python,10.405774113856301,6.763753174006596,0
2.8903717578961645,2.302585092994046,1265.668726851852,3.465212120059827,30.00076388888889,4,1,1,211,1,Python,4.90590457697767,2.597243599576413,0
4.9344739331306915,3.9889840465642745,2280.0173726851854,6.242347358481,1008.5363888888888,1,1,1,55,1,Python,22.10706839511421,8.490395832906183,0
4.477336814478207,0.0,2714.7781597222224,7.432657521484524,3.556979166666667,8,1,1,62,1,Python,11.705100059907442,0.0,0
2.9444389791664403,1.0986122886681098,2018.0242476851852,5.525049274976551,33.71484953703704,0,0,1,21,1,Python,3.2578894963930245,0.3619877218214472,0
2.70805020110221,1.3862943611198906,905.0428935185186,2.4778723984079907,289.8371990740741,0,0,1,71,1,Python,5.650008454428431,1.2107160973775208,0
4.248495242049359,1.791759469228055,3213.192662037037,8.797242058965193,1562.3569791666666,0,0,1,490,0,Python,7.843367220944285,0.5683599435466873,0
2.833213344056216,2.1972245773362196,915.2692939814815,2.5058707569650416,612.7600578703704,0,0,1,131,1,Python,6.385006072451329,3.1925030362256646,0
1.9459101490553132,0.6931471805599453,1457.2971296296296,3.9898620934418334,367.89681712962965,0,0,1,11,1,Python,1.5038113747997068,0.25063522913328445,0
1.9459101490553132,0.6931471805599453,1034.3802546296297,2.831978794331635,26.372939814814814,4,1,1,75,1,Python,2.1186599320621107,0.3531099886770184,0
3.6635616461296463,2.3978952727983707,2711.6756018518518,7.424163180977007,1840.9365625,0,0,1,57,1,Python,5.118421978839003,1.3469531523260534,0
2.9444389791664403,3.58351893845611,2876.6667361111113,7.875884287778539,1831.6859953703704,6,1,1,58,1,Python,2.2854576505055606,4.44394543153859,0
3.6635616461296463,2.70805020110221,4888.386076388889,13.383671667046924,270.36467592592595,0,0,1,95,1,Python,2.839280650732267,1.0460507660592564,0
3.6635616461296463,2.5649493574615367,4990.8965625,13.664330082135525,884.8982986111112,0,0,1,72,0,Python,2.780963265054644,0.8781989258067296,0
3.713572066704308,0.6931471805599453,5261.278912037037,14.404596610642127,966.7643287037037,0,0,1,15,1,Python,2.776891368859852,0.0694222842214963,0
3.1354942159291497,0.0,3452.4850925925925,9.452389028316475,14.471400462962963,3,1,1,53,1,Python,2.3274539308628444,0.0,0
4.48863636973214,1.3862943611198906,2724.874363425926,7.460299420741754,1485.7822916666667,3,1,1,13,0,Python,11.795773203865648,0.4021286319499653,0
2.8903717578961645,1.791759469228055,1153.0696064814815,3.1569325297234263,903.0589814814815,7,1,1,61,0,Python,5.384974129139637,1.5838159203351874,0
3.367295829986474,1.3862943611198906,2447.1184027777776,6.699845045250589,1146.4559606481482,0,0,0,0,0,Unknown,4.179201132397643,0.4477715498997475,0
2.833213344056216,0.0,826.7397222222222,2.2634899992394857,825.9276388888889,0,0,1,106,1,Python,7.068730149183725,0.0,0
2.3978952727983707,2.70805020110221,3232.4490046296296,8.849963051689608,1941.841712962963,0,0,1,99,1,Python,1.1299482203025504,1.5819275084235704,0
2.70805020110221,0.0,992.3087731481481,2.716793355641747,861.5049768518519,4,1,1,66,1,Python,5.153133921992014,0.0,0
2.9444389791664403,0.6931471805599453,1224.7493287037037,3.353180913630948,202.65351851851852,0,0,1,50,1,Python,5.368037234981436,0.298224290832302,0
4.859812404361672,4.804021044733257,4340.6921875,11.884167522245038,7.835486111111111,5,1,1,45,1,Python,10.770632420016536,10.181613459546883,0
3.828641396489095,1.3862943611198906,1047.8577777777778,2.8688782416913834,123.81439814814814,0,0,1,53,1,Python,15.685573317837875,1.0457048878558584,0
3.8501476017100584,0.6931471805599453,131.8045023148148,0.3608610604101706,127.03910879629629,0,0,0,0,0,Python,127.4728837401142,2.7711496465242216,0
3.8501476017100584,0.6931471805599453,2990.14162037037,8.186561588967475,2660.3319444444446,0,0,1,31,0,Python,5.618964628812097,0.12215140497417602,0
3.091042453358316,2.772588722239781,4225.4915972222225,11.568765495474942,3039.95462962963,0,0,1,66,1,Python,1.815232576735524,1.2965946976682314,0
3.044522437723423,2.3978952727983707,903.6868171296296,2.4741596635992598,0.6152893518518519,0,0,1,40,1,Python,8.083552688311633,4.041776344155816,0
1.9459101490553132,1.791759469228055,2845.6047222222223,7.790841128602936,257.5896875,0,0,1,100,1,Python,0.7701350728321075,0.6417792273600895,0
3.6635616461296463,0.6931471805599453,3217.3071180555557,8.808506825614115,3215.9122916666665,0,0,1,47,0,Python,4.314011529116423,0.11352661918727429,0
4.48863636973214,2.995732273553991,5082.698553240741,13.915670234745354,1101.6569444444444,0,0,1,68,1,Python,6.323806077286678,1.3653672212323509,0
2.833213344056216,1.9459101490553132,1294.996412037037,3.545506946028849,952.2978935185185,6,1,1,84,0,Python,4.512753815902356,1.6922826809633837,0
4.219507705176107,0.0,3792.8975810185184,10.384387627702994,3471.8147453703705,7,1,1,16,1,Python,6.451993357919389,0.0,0
4.174387269895637,2.4849066497880004,1835.2365277777778,5.024603772149973,137.78148148148148,0,0,1,52,0,Python,12.737322762589715,2.1892273498201074,0
3.912023005428146,0.0,3146.7745717592593,8.61539923821837,3134.1125462962964,0,0,1,83,1,Python,5.687490346661289,0.0,0
